Timestamp,Type of Exercise,Who are you?,Time,Distance (in miles),What kind of Calisthenics?,How many?,How many stairs?,Stairmaster time?,Elliptical time?,Weights Time,General Cardio Time:,Comments:,Steps,Walking Distance (in miles),How Long?
2/17/2015 16:19:42,Calisthenics,Vivek,,,Sit-ups,60,,,,,,,,,
2/18/2015 8:52:46,Yoga,Vivek,,,,,,,,,,,,,0:20:00
1/26/2015 10:28:13,Other Cardio,AP,,,,,,,,,3:00:00,Tennis and Kayak Polo,,,
2/8/2015 10:29:42,Other Cardio,AP,,,,,,,,,3:00:00,Tennis and Kayak Polo,,,
2/8/2015 10:30:01,Other Cardio,AP,,,,,,,,,2:00:00,Snowboarding,,,
2/13/2015 10:32:09,Other Cardio,AP,,,,,,,,,3:00:00,Tennis and Kayak Polo,,,
2/18/2015 10:32:46,Other Cardio,AP,,,,,,,,,2:00:00,Orienteering,,,
2/18/2015 10:33:21,Other Cardio,AP,,,,,,,,,1:20:00,Tennis,,,
2/19/2015 22:48:56,Weights,Vivek,,,,,,,,0:35:00,,,,,
2/19/2015 22:49:13,Run,Vivek,0:27:00,3.4,,,,,,,,,,,
2/20/2015 8:47:34,Yoga,Vivek,,,,,,,,,,,,,0:20:00
2/20/2015 8:47:57,Bike,Vivek,0:18:46,3.8,,,,,,,,,,,
2/20/2015 17:46:54,Bike,Vivek,0:30:11,7.2,,,,,,,,,,,
2/21/2015 13:29:44,Bike,AP,2:09:34,32.3,,,,,,,,,,,
2/21/2015 14:00:10,Yoga,Vivek,,,,,,,,,,,,,0:30:00
2/21/2015 14:02:58,Other Cardio,Vivek,,,,,,,,,0:50:00,half moon bay hike/boulder hopping,,,
2/22/2015 13:46:21,Other Cardio,Vivek,,,,,,,,,1:10:00,pick up basketball - 5 games,,,
2/23/2015 8:59:18,Yoga,Vivek,,,,,,,,,,,,,0:30:00
2/23/2015 11:58:56,Elliptical,AT,,,,,,,0:20:00,,,,,,
2/24/2015 0:00:49,Other Cardio,Vivek,,,,,,,,,0:30:00,league basketball game,,,
2/24/2015 0:01:00,Weights,Vivek,,,,,,,,0:35:00,,,,,
2/24/2015 0:18:21,Other Cardio,AP,,,,,,,,,1:00:00,Kayak Polo for 2 hours,,,
2/24/2015 8:22:40,Yoga,Vivek,,,,,,,,,,,,,0:20:00
2/24/2015 21:52:40,Other Cardio,Vivek,,,,,,,,,0:07:00,7 min workout challenju,,,
2/25/2015 7:19:24,Yoga,Vivek,,,,,,,,,,,,,0:20:00
2/25/2015 8:04:24,Run,Vivek,0:23:55,3.3,,,,,,,,,,,
2/26/2015 9:15:09,Yoga,Vivek,,,,,,,,,,,,,0:16:00
2/27/2015 0:05:02,Other Cardio,Vivek,,,,,,,,,0:07:00,7 min workout challenju,,,
2/27/2015 8:03:13,Yoga,Vivek,,,,,,,,,,,,,0:16:00
2/27/2015 8:39:12,Bike,Vivek,0:16:24,3.7,,,,,,,,,,,
2/27/2015 17:52:28,Bike,Vivek,0:22:32,5.3,,,,,,,,,,,
2/28/2015 9:27:30,Yoga,Vivek,,,,,,,,,,,,,0:30:00
2/28/2015 12:11:14,Bike,Vivek,0:40:59,10.1,,,,,,,,,,,
3/1/2015 8:44:30,Yoga,Vivek,,,,,,,,,,,,,0:20:00
3/1/2015 13:39:47,Other Cardio,Vivek,,,,,,,,,1:20:00,pick up basketball - 6 games,,,
3/2/2015 19:08:52,Yoga,Vivek,,,,,,,,,,,,,0:20:00
3/3/2015 0:29:09,Other Cardio,Vivek,,,,,,,,,0:30:00,league basketball game,,,
3/3/2015 8:37:04,Run,AT,0:30:47,1.69,,,,,,,,,,,
3/3/2015 9:29:36,Yoga,Vivek,,,,,,,,,,,,,0:12:00
3/4/2015 8:15:49,Run,AT,0:20:44,1.12,,,,,,,,,,,
3/4/2015 18:29:13,Yoga,Vivek,,,,,,,,,,,,,0:20:00
3/5/2015 8:29:22,Yoga,Vivek,,,,,,,,,,,,,0:15:00
3/5/2015 9:01:05,Weights,AT,,,,,,,,0:40:00,,,,,
3/5/2015 23:34:33,Run,Vivek,0:12:00,1.5,,,,,,,,,,,
3/5/2015 23:34:46,Weights,Vivek,,,,,,,,0:35:00,,,,,
3/6/2015 15:05:59,Other Cardio,AP,,,,,,,,,3:00:00,Tennis + Kayak Polo,,,
3/1/2015 15:06:26,Other Cardio,AP,,,,,,,,,1:30:00,Tennis,,,
3/1/2015 15:06:40,Other Cardio,AP,,,,,,,,,0:15:00,Stairs,,,
3/6/2015 18:43:08,Yoga,Vivek,,,,,,,,,,,,,0:35:00
3/6/2015 18:43:40,Run,Vivek,0:36:41,4.7,,,,,,,,,,,
3/7/2015 13:20:19,Other Cardio,AP,,,,,,,,,1:30:00,Echo mountain trail hike for 4hours and 5 miles,,,
3/7/2015 14:23:18,Yoga,Vivek,,,,,,,,,,,,,0:15:00
3/7/2015 14:23:33,Weights,Vivek,,,,,,,,0:40:00,,,,,
3/7/2015 19:32:00,Other Cardio,Vivek,,,,,,,,,0:20:00,basketball shootaround,,,
3/7/2015 19:53:19,Other Cardio,AP,,,,,,,,,1:00:00,Tennis,,,
3/8/2015 12:22:22,Bike,AP,0:49:10,12.8,,,,,,,,,,,
3/8/2015 14:10:20,Yoga,Vivek,,,,,,,,,,,,,0:15:00
3/8/2015 14:10:54,Other Cardio,Vivek,,,,,,,,,1:30:00,pick up basketball - 7 games,,,
3/8/2015 15:17:58,Run,Vivek,0:25:30,3,,,,,,,,,,,
3/8/2015 20:04:54,Yoga,AP,,,,,,,,,,,,,0:28:00
3/8/2015 20:11:25,Yoga,Vivek,,,,,,,,,,,,,0:15:00
3/8/2015 21:06:57,Run,AP,0:30:12,3.9,,,,,,,,,,,
3/8/2015 21:26:09,Other Cardio,Vivek,,,,,,,,,0:07:00,7 min workout challenju,,,
3/8/2015 21:26:15,Other Cardio,AP,,,,,,,,,0:07:00,7 min workout,,,
3/8/2015 21:36:44,Other Cardio,AP,,,,,,,,,0:07:00,7 min workout,,,
